Category,Component,Qty,Unit Cost (USD),Total Cost,link
Camera,SSC338Q + IMX415 camera module,1,$30.00,$30.00,https://www.aliexpress.com/item/1005007899575234.html
Antenna,5 dBi stubby antennas (SMA),2,$2.50,$5.00,https://www.aliexpress.com/item/1005004388721764.html
WiFi Module,BL-M8812EU2 (RTL8812EU),1,$11.00,$11.00,https://www.aliexpress.com/item/1005007723850436.html
Cooling,Heatsink + 5V micro fan,1,,,already have
PCB,Airside custom PCB,1,$20.00,$20.00,jlcpcb + components
,,,,,
WiFi Module,BL-R8812AF1 (RTL8812AU),1,$11.52,$11.52,https://www.aliexpress.com/item/1005006486060233.html
Antenna,13 dBi omni + 23 dBi panel antennas,2,$17.00 + 2,$19.00,https://www.aliexpress.com/item/1005005559736986.html?
PCB,Groundstation custom PCB,1,$15.00,$15.00,jlcpcb + components
,,,,,
Misc.,"Solder, headers, standoffs, extras",,$10.00,$10.00,
,,,,$121.52,